ReactionID	Reaction	Compartment	x1	y1	x2	y2
r_0178	alcohol acetyltransferase (isoamyl alcohol)	c_02	NA	NA	NA	NA
r_0181	alcohol dehydrogenase (ethanol)	c_02	NA	NA	NA	NA
r_0182	"alcohol dehydrogenase (glycerol, NADP)"	c_02	NA	NA	NA	NA
r_0183	"alcohol dehydrogenase, reverse rxn (acetaldehyde -> ethanol)"	c_10	NA	NA	NA	NA
r_0191	"aldehyde dehydrogenase (acetaldehyde, NADP)"	c_02	NA	NA	NA	NA
r_0193	"aldehyde dehydrogenase (acetylaldehyde, NADP)"	c_10	NA	NA	NA	NA
r_0197	"aldehyde dehydrogenase (isoamyl alcohol, NAD)"	c_02	NA	NA	NA	NA
r_0198	"aldehyde dehydrogenase (isoamyl alcohol, NAD)"	c_10	NA	NA	NA	NA
r_0209	allophanate hydrolase	c_02	NA	NA	NA	NA
r_0211	"alpha,alpha-trehalase"	c_02	NA	NA	NA	NA
r_0218	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	c_02	NA	NA	NA	NA
r_1157	ammonia transport	exchange	NA	NA	NA	NA
r_0220	anthranilate phosphoribosyltransferase	c_02	NA	NA	NA	NA
r_0221	anthranilate synthase	c_02	NA	NA	NA	NA
r_0222	Ap4A hydrolase	c_02	NA	NA	NA	NA
r_0224	arginase	c_02	NA	NA	NA	NA
r_0232	aspartate carbamoyltransferase	c_02	NA	NA	NA	NA
r_0233	aspartate kinase	c_02	NA	NA	NA	NA
r_0234	aspartate oxidase	exchange	NA	NA	NA	NA
r_0235	aspartate transaminase	c_02	NA	NA	NA	NA
r_0236	aspartate transaminase	c_10	NA	NA	NA	NA
r_0237	aspartate transaminase	c_14	NA	NA	NA	NA
r_1163	aspartate transport	exchange	NA	NA	NA	NA
r_1164	aspartate-glutamate transporter	exchange	NA	NA	NA	NA
r_0238	aspartate-semialdehyde dehydrogenase	c_02	NA	NA	NA	NA
r_0241	ATP adenylyltransferase	c_02	NA	NA	NA	NA
r_0245	ATP phosphoribosyltransferase	c_02	NA	NA	NA	NA
r_0246	ATP synthase	exchange	-27.5	5	-20	5
r_0249	"ATPase, cytosolic"	exchange	-20	15	-27.5	15
r_0251	bicarbonate formation	c_10	NA	NA	NA	NA
r_0254	bicarbonate formation	c_02	NA	NA	NA	NA
r_0258	C-14 sterol reductase	c_02	NA	NA	NA	NA
r_0261	C-3 sterol dehydrogenase	c_02	NA	NA	NA	NA
r_0262	C-3 sterol dehydrogenase (4-methylzymosterol)	c_02	NA	NA	NA	NA
r_0263	C-3 sterol keto reductase (4-methylzymosterol)	c_02	NA	NA	NA	NA
r_0264	C-3 sterol keto reductase (zymosterol)	c_02	NA	NA	NA	NA
r_0265	C-4 methyl sterol oxidase	c_02	NA	NA	NA	NA
r_0266	C-4 methyl sterol oxidase	c_02	NA	NA	NA	NA
r_0267	C-4 methyl sterol oxidase	c_02	NA	NA	NA	NA
r_0268	"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)"	c_02	NA	NA	NA	NA
r_0271	C-s24 sterol reductase	c_03	NA	NA	NA	NA
r_0277	carbamoyl-phosphate synthase (glutamine-hydrolysing)	c_02	NA	NA	NA	NA
r_0279	carnitine O-acetyltransferase	c_02	NA	NA	NA	NA
r_0280	carnitine O-acetyltransferase	c_14	NA	NA	NA	NA
r_1172	carnitine transport	exchange	NA	NA	NA	NA
r_1173	carnitine-acetylcarnitine carrier	exchange	NA	NA	NA	NA
