rx	reversible	ECfreeE	ECfreeEsd	ECdir	SMfreeE	SMfreeEsd	SMdir
r_0114	0	NA	NA	NA	4.205851218	1.074637109	0
r_0115	0	-31.174916625	1.982249011	1	-33.64713307	1.982249011	1
r_0116	0	-31.174916625	1.982249011	1	NA	NA	NA
r_0117	0	-31.174916625	1.982249011	1	NA	NA	NA
r_0118	0	25.28502711	1.167620588	0	25.28502711	1.167620588	NA
r_0119	0	25.28502711	1.167620588	0	25.28502711	1.167620588	NA
r_0120	0	-31.174916625	1.982249011	1	NA	NA	NA
r_0121	0	-31.174916625	1.982249011	1	NA	NA	NA
r_0122	0	-31.174916625	1.982249011	1	NA	NA	NA
r_0123	0	NA	NA	NA	-2.9194645	2.014968264	1
r_0124	0	NA	NA	NA	-2.9194645	2.014968264	1
r_0125	0	NA	NA	NA	NA	NA	NA
r_0126	0	NA	NA	NA	NA	NA	NA
r_0127	0	-4.965777947	1.115842058	1	-4.965777947	1.115842058	1
r_0128	0	-4.965777947	1.115842058	1	-4.965777947	1.115842058	1
r_0129	0	-4.965777947	1.115842058	1	-4.965777947	1.115842058	1
r_0130	0	NA	NA	NA	8.259767592	3.358873075	1
r_0131	0	NA	NA	NA	NA	NA	NA
r_0132	0	1.070510933	2.996345438	1	NA	NA	NA
r_0133	0	NA	NA	NA	NA	NA	NA
r_0134	0	NA	NA	NA	NA	NA	NA
r_0135	0	NA	NA	NA	NA	NA	NA
r_0136	0	NA	NA	NA	NA	NA	NA
r_0137	0	NA	NA	NA	NA	NA	NA
r_0138	0	NA	NA	NA	NA	NA	NA
r_0139	0	NA	NA	NA	NA	NA	NA
r_0140	0	NA	NA	NA	NA	NA	NA
r_0141	0	NA	NA	NA	NA	NA	NA
r_0142	0	NA	NA	NA	NA	NA	NA
r_0143	0	NA	NA	NA	NA	NA	NA
r_0144	0	NA	NA	NA	NA	NA	NA
r_0145	0	NA	NA	NA	NA	NA	NA
r_0146	0	NA	NA	NA	NA	NA	NA
r_0147	0	NA	NA	NA	NA	NA	NA
r_0148	0	NA	NA	NA	NA	NA	NA
r_0149	0	NA	NA	NA	NA	NA	NA
r_0150	0	NA	NA	NA	NA	NA	NA
r_0151	0	NA	NA	NA	NA	NA	NA
r_0152	0	NA	NA	NA	NA	NA	NA
r_0153	0	-19.780797325	4.398830157	1	0	1e+06	1
r_0154	0	-14.93865071	1.933237274	1	-14.93865071	1.933237274	1
r_0155	0	-19.780797325	4.398830157	1	-21.05389766	1.674039704	1
r_0156	0	NA	NA	NA	-4.49616119	2.606297239	1
r_0157	0	NA	NA	NA	-13.30191741	1.700033014	1
r_0158	0	NA	NA	NA	NA	NA	NA
r_0159	0	NA	NA	NA	NA	NA	NA
r_0160	0	-28.89453534	1.642520645	1	-28.89453534	1.642520645	1
r_0161	0	-0.596623457	0	0	NA	NA	NA
r_0162	0	8.335555288	1.579441267	1	8.335555288	1.579441267	1
r_0163	0	NA	NA	NA	-1.56244058	0.225919838	0
r_0164	0	NA	NA	NA	-1.56244058	0.225919838	0
r_0165	0	NA	NA	NA	3.136478964	1.804307568	0
r_0166	0	NA	NA	NA	3.136478964	1.804307568	0
r_0167	0	NA	NA	NA	-3.618683875	1.795537006	0
r_0168	0	NA	NA	NA	-3.618683875	1.795537006	0
r_0169	0	NA	NA	NA	18.06136169	3.635204461	0
r_0170	0	0.52233188	2.855148301	1	0.52233188	2.855148301	1
r_0171	0	NA	NA	NA	16.75416297	1.710190162	0
r_0172	0	-21.22975726	4.268006825	1	NA	NA	NA
r_0173	0	NA	NA	NA	NA	NA	NA
r_0174	0	NA	NA	NA	NA	NA	NA
r_0175	0	-10.30584164	2.764663848	1	NA	NA	NA
r_0176	0	NA	NA	NA	NA	NA	NA
r_0177	0	NA	NA	NA	NA	NA	NA
r_0178	0	NA	NA	NA	NA	NA	NA
r_0179	0	NA	NA	NA	NA	NA	NA
r_0180	0	NA	NA	NA	NA	NA	NA
r_0181	0	NA	NA	NA	19.00649039	1.495513964	0
r_0182	0	-20.386827	4.006023058	1	NA	NA	NA
r_0183	0	NA	NA	NA	-19.00649039	1.495513964	0
r_0184	0	NA	NA	NA	NA	NA	NA
r_0185	0	NA	NA	NA	NA	NA	NA
r_0186	0	-20.386827	4.006023058	1	NA	NA	NA
r_0187	0	NA	NA	NA	NA	NA	NA
r_0188	0	NA	NA	NA	NA	NA	NA
r_0189	0	NA	NA	NA	NA	NA	NA
r_0190	0	NA	NA	NA	NA	NA	NA
r_0191	1	NA	NA	NA	-48.89158312	1.642769915	1
r_0192	1	NA	NA	NA	-46.88258107	1.642769915	1
r_0193	1	NA	NA	NA	-48.89158312	1.642769915	1
r_0194	0	NA	NA	NA	NA	NA	NA
r_0195	0	NA	NA	NA	NA	NA	NA
r_0196	0	NA	NA	NA	NA	NA	NA
r_0197	0	NA	NA	NA	NA	NA	NA
r_0198	0	NA	NA	NA	NA	NA	NA
r_0199	0	NA	NA	NA	NA	NA	NA
r_0200	0	NA	NA	NA	NA	NA	NA
r_0201	0	NA	NA	NA	NA	NA	NA
r_0202	0	NA	NA	NA	NA	NA	NA
r_0203	1	NA	NA	NA	-44.928510805	2.344664525	1
r_0204	0	NA	NA	NA	NA	NA	NA
r_0205	0	NA	NA	NA	NA	NA	NA
r_0206	0	0	1e+06	1	NA	NA	NA
r_0207	0	NA	NA	NA	NA	NA	NA
r_0208	0	-26.10970866	10.03528191	1	-26.10970866	10.03528191	1
r_0209	0	NA	NA	NA	NA	NA	NA
r_0210	0	NA	NA	NA	NA	NA	NA
